"cislo_dot";"kod_predm";"nazev_predm";"prednasejici";"cvicici";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"q13";"t1";"t2";"katedra_code"
"1";"JEM100";"Corporate Governance";;"Cazachevici,A.,Čovan,M.,Kopečná,V.,Mejstřík,M.";"4";"2";NULL;NULL;NULL;"4";"4";"4";"1";"4";"3";"4";"5";"Possibility to analyze the topics and get involved in discussions.";NULL;"ies"
"2";"JEM002";"Master´s Thesis Seminar II";;"Havránek,T.,Havránková,Z.,Mejstřík,M.";"4";"3";NULL;NULL;NULL;"4";"4";"4";"1";"4";"3";"4";"5";"Teacher are very helpful ";NULL;"ies"
"3";"JEM174";"Stata for Economists";"Janhuba,R.";;"3";"4";"3";"2";"3";NULL;NULL;NULL;"1";"3";"3";"3";"3";NULL;"The exam structure. This is Stata course  so  exams should be done using computers, because not all can remember the commands by heart while  writing test on paper. The teacher is also not very friendly towards everybody. ";"ies"
"4";"JEM161";"Private Equity";"Fencl,T.,Klímová,D.";;"4";"3";"4";"4";"4";NULL;NULL;NULL;"1";"4";"4";"4";"4";NULL;NULL;"ies"
"5";"JPM634";"Crisis Games";"Bahenský,V.,Kučera,T.,Parízek, M.,Rychnovská,D.,Smetana,M.";;"5";"4";"5";"5";"4";NULL;NULL;NULL;"1";"4";"4";"4";"5";"Course was very interesting in terms of exercising theoretical knowledge in practice. Preparing sessions before the weekend were very helpful.  ";NULL;"kmv"
"6";"JJM334";"Diplomový seminář";;;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";NULL;NULL;"kms"
"7";"JJM329";"Média a kultura";"Bednařík,P.,Jirák,J.";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";NULL;NULL;"kms"
"8";"JJM335";"Nová média a společnost";"Švelch,Jaroslav";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";NULL;NULL;"kms"
"9";"JJM337";"Seminář k SZK: Aktuální otázky studia dějin a teorie médií";"Bednařík,P.";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";NULL;NULL;"kms"
"10";"JLB100";"Czech as a Foreign Language I";;"Arsenjuková,K.";"5";"2";NULL;NULL;NULL;"5";"5";"5";"1";"5";"5";"5";"5";NULL;NULL;"kjp"
"11";"JPB096";"Evolution of International Relations on the Map";"Romancov Michael";;"4";"1";"4";"5";"5";NULL;NULL;NULL;"2";"4";"4";"4";"4";NULL;NULL;"kp"
"12";"JMB087";"Introduction to International Political Economy";"Fiřtová Magdalena";;"4";"3";"4";"5";"5";NULL;NULL;NULL;"1";"5";"4";"5";"4";NULL;NULL;"kas"
"13";"JSM703";"Current Issues in Public Policy";"Goddard,W.,Veselý,Arnošt";;"5";"2";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";"very contemporary topics were discussed ";"more lectures if possible ";"kvsp"
"14";"JPB560";"Le systéme politique tcheque";"Perottino,M.";;"5";"2";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";NULL;NULL;"kp"
