"cislo_dot";"kod_predm";"nazev_predm";"prednasejici";"cvicici";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"q13";"t1";"t2";"katedra_code"
"1";"JEB003";"Ekonomie I";"Fanta,N.,Kracík,J.,Švarcová,N.";"Fanta,N.,Kracík,J.,Švarcová,N.";"3";"5";"4";"5";"4";"2";"4";"3";"1";"4";"1";NULL;"2";;;"ies"
"2";"JLB003";"Angličtina pro ekonomy I";;"Poslušná,L.";"5";"3";NULL;NULL;NULL;"5";"5";"5";"1";"5";"5";"5";"5";;;"cjp"
"3";"NMMA701";"Matematika 1";"Spurný,J.";"Rondoš,J.";"3";"5";"3";"2";"1";"4";"4";"5";"1";"3";"2";"2";"1";;;"ies"
"4";"JEB023";"Úvod do studia práva";"Pražák,P.,Wintr,J.";;"3";"4";"3";"3";"1";NULL;NULL;NULL;"1";"3";"2";"3";"2";;;"ies"
"5";"JEB055";"Seminář k aktualitám I";;"Vyhnánek,T.";"2";"3";NULL;NULL;NULL;"2";"3";"1";"1";"4";"2";"2";"1";;;"ies"
"6";"JPM314";"Theories of International Relations";"Ditrych,O.,Plechanovová,B.";;"2";"3";"2";"4";"1";NULL;NULL;NULL;"2";"3";"1";"3";"1";;;"kmv"
"7";"JEB998";"Úvod do ekonomie";"Kameníček,J.";;"4";"3";"2";"3";"2";NULL;NULL;NULL;"1";"3";"1";"2";"3";;;"ies"
"8";"JEB058";"Seminář matematické analýzy I";;"Stráský,J.";"4";"4";NULL;NULL;NULL;"4";"5";"5";"1";"1";"2";"3";"5";;;"ies"
"9";"JPM561";"Regional Security Studies";"Karásek,T.,Klosek,K.";"Karásek,T.,Klosek,K.";"5";"3";"5";"5";"4";"5";"5";"4";"1";"5";"4";"5";"5";;;"kbs"
"10";"JEB998";"Úvod do ekonomie";"Kameníček,J.";;"3";"4";"2";"2";"2";NULL;NULL;NULL;"1";"3";"3";"3";"1";;;"ies"
"11";"JLB001";"Angličtina pro sociology I";;"Štěpánková,D.";"3";"1";NULL;NULL;NULL;"1";"4";"2";"2";"1";"2";"1";"2";;;"cjp"
"12";"JPM698";"Middle East Security";"Daniel,J.";;"5";"3";"4";"5";"5";NULL;NULL;NULL;"2";"5";"4";"4";"4";;;"kbs"
"13";"JEB998";"Úvod do ekonomie";"Kameníček,J.";;"1";"3";"2";"1";"1";NULL;NULL;NULL;"2";"1";"1";"1";"1";"Tento kurz naprosto ničí představy prvních ročníků o vysoké škole. Já osobně jsem v prvním ročníku po navštívení tohoto kurzu v přemýšlela, zda školy nezanechat. A po vyslechnutí kurzu v letošním roce jsem byla pouze šťastná, že ho absolvovat znova nemusím - stejné, nepřínosné a přístup vyučujícího otřesný.";"S veškerou úctou k panu Kameníčkovi - změna vyučujícího.";"ies"
"14";"JSB536";"Základy logiky a matematiky";"Hendl,J.";"Hanzlík,P.";"3";"3";"2";"2";"1";"5";"5";"4";"2";"4";"2";"1";"3";;;"ks"
"15";"JPM628";"Researching International Politics: Quantitative Methods";"Parízek,M.";;"5";"3";"5";"5";"4";NULL;NULL;NULL;"1";"4";"5";"3";"4";;;"kmv"
"16";"JPM694";"Strategic Studies";"Hynek,N.,Ludvík,J.,Smetana,M.";;"3";"4";"4";"5";"2";NULL;NULL;NULL;"1";"4";"3";"4";"3";;;"kbs"
"17";"JSB530";"Úvod do sociologického myšlení";"Bureš,J.,Numerato,D.";"Bureš,J.";"3";"1";"1";"5";"1";"4";"5";"4";"4";"2";"3";"2";"3";;;"ks"
"18";"JSB407";"Globální problémy životního prostředí a udržitelný rozvoj";"Drhová,Z.";;"3";"2";"3";"4";"4";NULL;NULL;NULL;"1";"4";"2";"4";"4";"zachovala bych skupinové práce a výuku každý týden";"Lépe definovat ze strany vyučujícího požadavky kurzu apod. - často jsme se ztráceli v tom, co máme dělat, ale vše bylo nakonec vykomunikováno.";"kvsp"
"19";"JPM314";"Theories of International Relations";"Ditrych,O.,Plechanovová,B.";;"2";"3";"3";"3";"2";NULL;NULL;NULL;"1";"2";"3";"3";"3";;;"kmv"
"20";"JSB515";"Vysokoškolská vzdělávací politika";"Vlk,A.";;"5";"4";"4";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";"Přístup vyučujícího, způsob výuky, oborovost a praktické uvedení do problematiky, výjezd";;"kvsp"
"21";"JPM611";"Cyber Security";"Duračinská,Z.,Střítecký,V.";;"4";"3";"5";"5";"4";NULL;NULL;NULL;"1";"3";"3";"3";"3";;;"kbs"
"22";"JPM701";"European and Transatlantic Security";"Kazharski,A.";;"4";"3";"5";"5";"4";NULL;NULL;NULL;"4";"4";"3";"4";"4";;;"kbs"
"23";"JSB998";"Úvod do sociologie";"Soukup,P.";;"4";"2";"5";"5";"4";NULL;NULL;NULL;"2";"4";"3";"3";"5";;;"ks"
"24";"JJB605";"Novodobá historie médií";"Bednařík,P.,Končelík,J.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kms"
"25";"JJB616";"Vybrané novinářské osobnosti 19. století";"Sekera,M.";;"5";"2";"5";"5";"4";NULL;NULL;NULL;"1";"4";"4";"5";"5";;;"kms"
"26";"JJB620";"Mediální produkce - žurnalistická práce I.";"Vlasák,Z.";;"3";"2";"3";"5";"3";NULL;NULL;NULL;"1";"3";"3";"2";"3";;;"kms"
"27";"JPB263";"Bakalářský seminář II.";;"Brunclík,M.,Bureš,O.,Ditrych,O.,Franěk,J.,Gelnarová,J.,Hynek,N.,Charvát,J.,Jeřábek,M.,Jüptner,P.,Karásek,T.,Karlas,J.,Knutelská,V.,Kofroň,J.,Kotábová,V.,Krausz Hladká,M.,Kubátová,H.,Kučera,J.,Kučerová,I.,Landovský,J.,Ludvík,J.,Makariusová,R.,Mlejnek,J.,Pa";"4";"1";NULL;NULL;NULL;"4";"4";"4";"1";"5";"5";"4";"5";;;"kp"
"28";"JPB260";"Politické myšlení novověku III";"Kučera,J.";;"5";"4";"4";"4";"3";NULL;NULL;NULL;"1";"5";"4";"5";"5";;;"kp"
"29";"JPB227";"Politický system ČR";"Charvát,J.";;"4";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"3";"4";"5";;;"kp"
"30";"JJB135";"Filmový seminář I";;"Šobr,M.";"3";"3";NULL;NULL;NULL;"4";"3";"3";"2";"2";"2";"2";"3";;;"kz"
"31";"JSM612";"Kriminalita a současná česká společnost";"Cejp,M.";;"3";"1";"3";"5";"3";NULL;NULL;NULL;"1";"3";"1";"4";"5";;"pozdější výuka :) osmá ranní je moc brzo";"kvsp"
"32";"JEB044";"Financial Accounting";"Astakhov,A.,Cazachevici,A.,Čornanič,A.,Hildebrandt,B.,Chalupka,R.,Kolouchová,P.,Novák,J.,Polyák,O.,Wang,Y.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"4";"3";"4";"5";"Pan Novák je jednoznačně jedním z nejlepších přednášejících a je hlavním důvodem pozitivního hodnocení, skvěle vede hodiny, diksuze jsou přínosné i pro ty, kteří se nezapojují, ale poslouchají je.";"Někdy během diskuzí není slyšet co studenti říkali, kdyby v takových situacích bylo shrnuto vyučujícím co bylo řečeno, než na to zareaguje, tak by byly hodiny bez chyby.";"ies"
"33";"NMMA703";"Matematika 3";"Zelený,M.";"Bartoš,A.";"5";"4";"5";"5";"5";"3";"4";"3";"1";"5";"4";"4";"5";;;"ies"
"34";"JSB031";"Bakalářský seminář I  - diskuse projektů";;"Angelovská,O.,Mouralová,M.";"5";"3";NULL;NULL;NULL;"5";"5";"4";"1";"5";"5";"1";"5";"Především styl průběžných úkolů, které jsou postupně vypracovávány a následně \"propojeny\" do jednoho velkého, takže studentovi dávají pocit, že je napsání bakalářky zvládnutelné + diskutování konkrétních problémů vyvstávajících v průběhu psaní práce";;"ks"
"35";"JJB601";"Rozbor právního prostředí v českých médiích";"Benda,J.";;"2";"3";"2";"3";"3";NULL;NULL;NULL;"1";"2";"1";"1";"2";;;"kms"
"36";"JEB105";"Statistics";"Červinka,M.";"Červinka,M.";"4";"5";"5";"4";"3";"5";"4";"5";"1";"3";"4";"2";"3";;;"ies"
"37";"JJB600";"Úvod do studia médií I.";"Nečas,V.";;"5";"5";"4";"5";"5";NULL;NULL;NULL;"2";"4";"4";"4";"4";;;"kms"
"38";"JEB047";"Účetnictví II";"Kemény,I.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"3";"5";"5";"5";"5";"Důvtip paní Kemény ale také její znalosti a zkušenosti v tomto oboru.";"Možná distribovat papíry přes SIS, výpisky nebo slidy.";"ies"
"39";"JEB114";"Macroeconomics I";"Brož,V.,Horváth,R.,Kudashvili,N.,Mareš,J.";"Brož,V.,Horváth,R.,Kudashvili,N.,Mareš,J.";"3";"1";"2";"1";"1";"2";"3";"1";"1";"3";"1";"3";"3";;;"ies"
"40";"NMMA703";"Matematika 3";"Zelený,M.";"Turčinová,H.";"5";"3";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";;;"ies"
"41";"JJM080";"Zábava v televizním vysílání";"Kruml,M.";;"5";"2";"5";"5";"5";NULL;NULL;NULL;"1";"4";"1";"4";"5";;;"kms"
"42";"JEB105";"Statistics";"Červinka,M.";"Hanus,L.";"5";"5";"5";"5";"5";"5";"5";"5";"2";"5";"5";"5";"5";"Přístup vyučujících a pana Červinky k předmětu. Bere feedbacky velice vážně a snaží se nám vyjít vstříc, což je docela vzácné.";"Možná jasnější prezentace, slidy byly někdy velmi matoucí. Jinak bezpochyby asi ten nejlepší předmět na IESu.";"ies"
"43";"JMB533";"Česká republika v integračních procesech";"Šlosarčík,I.";;"5";"2";"4";"4";"5";NULL;NULL;NULL;"1";"5";"3";"5";"5";;;"kzs"
"44";"JEB108";"Microeconomics II";"Čechová,K.,Chytilová,J.,Jonášová,J.,Polák,P.";"Chytilová,J.,Jonášová,J.,Smutná,Š.";"4";"3";"4";"4";"2";"2";"2";"1";"1";"3";"3";"4";NULL;"Zaverecny test byl neadekvatne komplikovany a matouci. Po vypoctech, ktere nam na cvicenich vychazely celociselne a davaly smysl (napriklad byly kladne), me zmatlo, ze v testu vysledky nevychazely vubec tak, jak jsme na to byli zvykli. samozrejme chapu, ze priklady mohou vychazet vseljkak, ovsem tato skutecnost zpusobila, ze v testu jsem si pote uz nebyla jista ani temi netrivialnejsimi vypocty, jelikoz jsem mela za fixovano, ze takova cisla by mi vychazet nemela. proto doporucuji bud davat podobne priklady do cviceni, aby studenti nemuseli byt zaskoceni az u zkousky, nebo davat do pisemky takove priklady, ktere se cvici i na seminarich.";;"ies"
"45";"JMB534";"Evropská unie - vybrané problémy";"Mejstřík,M.";;"4";"3";"4";"5";"4";NULL;NULL;NULL;"1";"4";"3";"5";"5";;;"kzs"
"46";"JMB535";"Bezpečnostní problémy současného světa";"Weiss,T.";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"3";"4";"5";;;"kzs"
"47";"JJM201";"Teorie masové a mediální komunikace";"Jirák,J.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"2";"5";"5";;;"kms"
"48";"JMB536";"Bakalářský seminář pro kombinovaný obor Teritoriální studia I";;"Vykoukal,J.";"5";"4";NULL;NULL;NULL;"4";"5";"5";"1";"5";"5";"4";"5";;;"krvs"
"49";"JPM127";"Geopolitika a geostrategie 1815 - 1945";"Romancov,M.";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kp"
"50";"JJM226";"Teorie účinků médií";"Nečas,V.";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"3";"5";"5";;;"kms"
"51";"JJB600";"Úvod do studia médií I.";"Nečas,V.";;"5";"5";"5";"4";"5";NULL;NULL;NULL;"3";"5";"4";"5";"5";"Příklady z praxe, ukázky a videa";;"kms"
"52";"JPM641";"Světový regionalismus";"Riegl,M.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kp"
"53";"JEB003";"Ekonomie I";"Fanta,N.,Kracík,J.,Švarcová,N.";"Fanta,N.,Kracík,J.,Švarcová,N.";"5";"5";"5";"5";"4";"5";"5";"2";"1";"5";"2";"4";"5";;;"ies"
