location,direction,ts,value
Barrandovský most,Barrandovský most,2018-01-01,143.0
Barrandovský most,Zlíchov,2018-01-01,179.0
Chodov,Chodov centrum,2018-01-01,32.0
Chodov,ul. Türkova,2018-01-01,22.0
Celetná,Ovocný trh,2018-01-01,50.0
Celetná,Prašná brána,2018-01-01,55.0
Dukelských hrdinů,centrum,2018-01-01,43.0
Dukelských hrdinů,z centra,2018-01-01,35.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-01,14.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-01,67.0
Hlubočepská,centrum,2018-01-01,80.0
Hlubočepská,Hlubočepy,2018-01-01,78.0
Jeremenkova,Pankrác,2018-01-01,44.0
Jeremenkova,Podolské nábřeží,2018-01-01,43.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-01,39.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-01,33.0
Letňany,z centra,2018-01-01,38.0
Letňany,centrum,2018-01-01,42.0
Radotín,Radotín,2018-01-01,57.0
Radotín,Zbraslav,2018-01-01,48.0
Nuselský most,centrum,2018-01-01,31.0
Nuselský most,ul. 5. května,2018-01-01,22.0
Střešovice,do centra,2018-01-01,3.0
Střešovice,z centra,2018-01-01,6.0
Pelléova,Jaselská,2018-01-01,11.0
Pelléova,Milady Horákové,2018-01-01,29.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-01,92.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-01,115.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-01,92.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-01,54.0
Podbabská,ul. Roztocká,2018-01-01,35.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-01,46.0
Povltavská, ul. Vodácká,2018-01-01,139.0
Povltavská,ZOO,2018-01-01,166.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-01,
Rohanské nábřeží,z centra (Karlín),2018-01-01,
Šeberov,Kunratice,2018-01-01,31.0
Šeberov,Šeberov,2018-01-01,27.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-01,152.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-01,176.0
Krč (Sulická),Lhotka,2018-01-01,85.0
Krč (Sulická),Krč,2018-01-01,48.0
Císařský ostrov,do centra (Stromovka),2018-01-01,61.0
Císařský ostrov,z centra (Trója),2018-01-01,65.0
Stezka okolo Rokytky,O2 Aréna,2018-01-01,19.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-01,77.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-01,28.0
Drážní stezka - Vítkov,Seifertova,2018-01-01,28.0
Modřany,z centra,2018-01-01,309.0
Modřany,centrum,2018-01-01,320.0
Vršovická,Strašnice,2018-01-01,37.0
Vršovická,Nusle,2018-01-01,50.0
Košíře,centrum,2018-01-01,17.0
Barrandovský most,Barrandovský most,2018-01-02,106.0
Barrandovský most,Zlíchov,2018-01-02,115.0
Chodov,Chodov centrum,2018-01-02,44.0
Chodov,ul. Türkova,2018-01-02,18.0
Celetná,Ovocný trh,2018-01-02,126.0
Celetná,Prašná brána,2018-01-02,137.0
Dukelských hrdinů,centrum,2018-01-02,51.0
Dukelských hrdinů,z centra,2018-01-02,57.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-02,49.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-02,51.0
Hlubočepská,centrum,2018-01-02,59.0
Hlubočepská,Hlubočepy,2018-01-02,66.0
Jeremenkova,Pankrác,2018-01-02,32.0
Jeremenkova,Podolské nábřeží,2018-01-02,36.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-02,85.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-02,107.0
Letňany,z centra,2018-01-02,31.0
Letňany,centrum,2018-01-02,25.0
Radotín,Radotín,2018-01-02,30.0
Radotín,Zbraslav,2018-01-02,42.0
Nuselský most,centrum,2018-01-02,62.0
Nuselský most,ul. 5. května,2018-01-02,63.0
Střešovice,do centra,2018-01-02,12.0
Střešovice,z centra,2018-01-02,9.0
Pelléova,Jaselská,2018-01-02,34.0
Pelléova,Milady Horákové,2018-01-02,48.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-02,128.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-02,190.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-02,94.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-02,37.0
Podbabská,ul. Roztocká,2018-01-02,15.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-02,5.0
Povltavská, ul. Vodácká,2018-01-02,58.0
Povltavská,ZOO,2018-01-02,84.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-02,
Rohanské nábřeží,z centra (Karlín),2018-01-02,
Šeberov,Kunratice,2018-01-02,12.0
Šeberov,Šeberov,2018-01-02,10.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-02,43.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-02,56.0
Krč (Sulická),Lhotka,2018-01-02,64.0
Krč (Sulická),Krč,2018-01-02,64.0
Císařský ostrov,do centra (Stromovka),2018-01-02,48.0
Císařský ostrov,z centra (Trója),2018-01-02,73.0
Stezka okolo Rokytky,O2 Aréna,2018-01-02,68.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-02,78.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-02,28.0
Drážní stezka - Vítkov,Seifertova,2018-01-02,24.0
Modřany,z centra,2018-01-02,119.0
Modřany,centrum,2018-01-02,122.0
Vršovická,Strašnice,2018-01-02,44.0
Vršovická,Nusle,2018-01-02,52.0
Košíře,centrum,2018-01-02,38.0
Barrandovský most,Barrandovský most,2018-01-03,42.0
Barrandovský most,Zlíchov,2018-01-03,53.0
Chodov,Chodov centrum,2018-01-03,25.0
Chodov,ul. Türkova,2018-01-03,18.0
Celetná,Ovocný trh,2018-01-03,143.0
Celetná,Prašná brána,2018-01-03,97.0
Dukelských hrdinů,centrum,2018-01-03,43.0
Dukelských hrdinů,z centra,2018-01-03,36.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-03,24.0
