id,vendor_id,locations_id,name,create_batch_id,created_at,created_by,update_batch_id,updated_at,updated_by
camea-BC_HZ-HL,BC_HZ-HL,camea-BC_HZ-CE,Hlubočepy,,2020-02-14 16:20:01.566000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-BC_JG-PN,BC_JG-PN,camea-BC_JG-PNPC,Podolské nábřeží,,2020-02-14 16:20:01.566000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-BC_VK-SE,BC_VK-SE,camea-BC_VK-HRUP,Seifertova,,2020-04-21 15:25:05.263000+02:00,,,2020-04-21 13:25:05.263000+00:00,
camea-BC_JG-PC,BC_JG-PC,camea-BC_JG-PNPC,Pankrác,,2020-02-14 16:20:01.566000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-BC_KA-KM,BC_KA-KM,camea-BC_KA-KMML,Karlův most,,2020-02-14 16:20:01.566000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-BC_KA-ML,BC_KA-ML,camea-BC_KA-KMML,most Legií,,2020-02-14 16:20:01.566000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-KJ-HO,KJ-HO,camea-BC_KJ-HRHO,Libeň,,2020-02-14 16:20:01.566000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-KJ-HR,KJ-HR,camea-BC_KJ-HRHO,Malá Strana,,2020-02-14 16:20:01.566000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-SU-VO,SU-VO,camea-BC_SU-VS,Nebušice,,2020-02-14 16:20:01.568000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-TL-HO,TL-HO,camea-BC_TL-TRHO,do centra (Stromovka),,2020-02-14 16:20:01.568000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-TL-TR,TL-TR,camea-BC_TL-TRHO,z centra (Trója),,2020-02-14 16:20:01.568000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-BC_VF-AR,BC_VF-AR,camea-BC_VF-ARUE,O2 Aréna,,2020-02-14 16:20:01.568000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-BC_VF-UE,BC_VF-UE,camea-BC_VF-ARUE,ul. U Elektry,,2020-02-14 16:20:01.568000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-BC_VK-HR,BC_VK-HR,camea-BC_VK-HRUP,Hrdlořezy,,2020-02-14 16:20:01.568000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-BC_VK-UP,BC_VK-UP,camea-BC_VK-HRUP,Seifertova,,2020-02-14 16:20:01.568000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-BC_VK-MO,BC_VK-MO,camea-BC_VK-MOKO,centrum,,2020-02-14 16:20:01.568000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-BC_VK-KO,BC_VK-KO,camea-BC_VK-MOKO,z centra,,2020-02-14 16:20:01.568000+01:00,,,2022-03-28 15:50:00.540000+00:00,
camea-BC_CT-OT,BC_CT-OT,camea-BC_CT-OTPB,Ovocný trh,,2020-02-14 16:20:01.566000+01:00,,,2022-03-28 15:50:00.539000+00:00,
camea-BC_CT-PB,BC_CT-PB,camea-BC_CT-OTPB,Prašná brána,,2020-02-14 16:20:01.566000+01:00,,,2022-03-28 15:50:00.539000+00:00,
camea-LO_DE-EV,LO_DE-EV,camea-BC_DE-EVSA,ul. Evropská,,2020-02-14 16:20:01.566000+01:00,,,2022-03-28 15:50:00.539000+00:00,
camea-LO_DE-SA,LO_DE-SA,camea-BC_DE-EVSA,Šárka,,2020-02-14 16:20:01.566000+01:00,,,2022-03-28 15:50:00.539000+00:00,
