Symbol,Security,GICS Sector,hq,included,Founded
MMM,3M,Industrials,"Saint Paul, Minnesota",09.08.1976,1902
AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",26.07.2017,1916
ABT,Abbott,Health Care,"North Chicago, Illinois",31.03.1964,1888
ABBV,AbbVie,Health Care,"North Chicago, Illinois",31.12.2012,2013 (1888)
ABMD,Abiomed,Health Care,"Danvers, Massachusetts",31.05.2018,1981
ACN,Accenture,Information Technology,"Dublin, Ireland",06.07.2011,1989
ATVI,Activision Blizzard,Communication Services,"Santa Monica, California",31.08.2015,2008
ADM,ADM,Consumer Staples,"Chicago, Illinois",29.07.1981,1902
ADBE,Adobe Inc.,Information Technology,"San Jose, California",05.05.1997,1982
ADP,ADP,Information Technology,"Roseland, New Jersey",31.03.1981,1949
AAP,Advance Auto Parts,Consumer Discretionary,"Raleigh, North Carolina",09.07.2015,1932
AES,AES Corporation,Utilities,"Arlington, Virginia",02.10.1998,1981
AFL,Aflac,Financials,"Columbus, Georgia",28.05.1999,1955
A,Agilent Technologies,Health Care,"Santa Clara, California",05.06.2000,1999
APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",30.04.1985,1940
AKAM,Akamai,Information Technology,"Cambridge, Massachusetts",12.07.2007,1998
ALK,Alaska Air Group,Industrials,"SeaTac, Washington",13.05.2016,1985
ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",01.07.2016,1994
ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",20.03.2017,1994
ALGN,Align Technology,Health Care,"Tempe, Arizona",19.06.2017,1997
ALLE,Allegion,Industrials,"New York City, New York",02.12.2013,1908
LNT,Alliant Energy,Utilities,"Madison, Wisconsin",01.07.2016,1917
ALL,Allstate,Financials,"Northfield Township, Illinois",13.07.1995,1931
GOOGL,Alphabet Inc. (Class A),Communication Services,"Mountain View, California",03.04.2014,1998
GOOG,Alphabet Inc. (Class C),Communication Services,"Mountain View, California",03.04.2006,1998
MO,Altria,Consumer Staples,"Richmond, Virginia",04.03.1957,1985
AMZN,Amazon,Consumer Discretionary,"Seattle, Washington",18.11.2005,1994
AMCR,Amcor,Materials,"Warmley, Bristol, United Kingdom",07.06.2019,2019 (1860)
AMD,AMD,Information Technology,"Santa Clara, California",,1969
AEE,Ameren,Utilities,"St. Louis, Missouri",19.09.1991,1902
AAL,American Airlines Group,Industrials,"Fort Worth, Texas",23.03.2015,1934
AEP,American Electric Power,Utilities,"Columbus, Ohio",04.03.1957,1906
AXP,American Express,Financials,"New York City, New York",30.06.1976,1850
AIG,American International Group,Financials,"New York City, New York",31.03.1980,1919
AMT,American Tower,Real Estate,"Boston, Massachusetts",19.11.2007,1995
AWK,American Water Works,Utilities,"Camden, New Jersey",04.03.2016,1886
AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota",03.10.2005,1894
ABC,AmerisourceBergen,Health Care,"Conshohocken, Pennsylvania",30.08.2001,1985
AME,Ametek,Industrials,"Berwyn, Pennsylvania",23.09.2013,1930
AMGN,Amgen,Health Care,"Thousand Oaks, California",02.01.1992,1980
APH,Amphenol,Information Technology,"Wallingford, Connecticut",30.09.2008,1932
ADI,Analog Devices,Information Technology,"Wilmington, Massachusetts",12.10.1999,1965
ANSS,Ansys,Information Technology,"Canonsburg, Pennsylvania",19.06.2017,1969
AON,Aon,Financials,"London, UK",23.04.1996,1982 (1919)
